final_table.totalcases,final_table.activecases,final_table.deathinclosedcases,final_table.newcases,final_table.totaldeaths,final_table.newdeaths,final_table.totalrecovered,final_table.seriouscritical,final_table.deathspermillion,final_table.totaltests,final_table.casespermillion,final_table.rankbytestingrate,final_table.rankbydeathrate,final_table.rankbycasesrate,final_table.testspermillion,final_table.rankbydeathofclosedcases,final_table.country
320884,8225,6517,187,233651,80716,1832,7091,144.0,1030992,22783.0,45252733,0,127,40.0,33,Argentina
287959,2868,3822,41,168991,115146,NULL,1746,23.0,1407556,8535.0,164914115,0,156,107.0,95,Bangladesh
69950,149,627,5,67929,1394,NULL,7403,66.0,1437110,152093.0,9448882,0,33,67.0,32,Belarus
79479,582,9969,10,18078,51432,83,6854,860.0,2049976,176773.0,11596664,0,27,2.0,34,Belgium
105050,2031,4233,61,39965,60852,71,8983,362.0,222251,19005.0,11694550,0,130,16.0,23,Bolivia
3505097,44684,112423,1234,2653407,739267,8318,16474,528.0,13748152,64616.0,212768400,0,71,11.0,10,Brazil
123873,383,9054,5,110288,4531,61,3278,240.0,4974215,131636.0,37787666,0,37,26.0,76,Canada
391849,1812,10671,93,366063,15115,1077,20474,558.0,2113632,110437.0,19138783,0,48,9.0,5,Chile
84895,7,4634,NULL,79745,516,24,59,3.0,90410000,62814.0,1439323776,0,77,169.0,199,China
513719,11541,16183,204,339124,158412,1493,10081,318.0,2374898,46606.0,50956995,0,91,20.0,21,Colombia
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Country
89010,883,1505,4,57734,29771,288,8194,139.0,335478,30883.0,10862806,0,114,43.0,28,Dominican Republic
105508,1033,6200,54,87660,11648,331,5968,351.0,297376,16821.0,17679078,0,134,19.0,44,Ecuador
97025,111,5212,15,63462,28351,41,946,51.0,135000,1316.0,102590466,0,189,78.0,124,Egypt
229814,4771,30480,12,84065,115269,384,3520,467.0,6000000,91892.0,65293815,0,56,12.0,70,France
231284,1584,9324,10,204800,17160,231,2759,111.0,10197366,121656.0,83821481,0,43,48.0,83,Germany
65983,1102,2506,39,54351,9126,5,3674,140.0,213204,11871.0,17959594,0,146,42.0,67,Guatemala
52298,628,1608,15,7867,42823,43,5269,162.0,127946,12890.0,9925734,0,142,36.0,50,Honduras
2904329,68507,54975,981,2157941,691413,8944,2102,40.0,32661252,23636.0,1381863561,0,123,87.0,90,India
147211,2266,6418,72,100674,40119,NULL,537,23.0,1969941,7192.0,273918933,0,163,107.0,147,Indonesia
352558,2279,20264,139,304236,28058,3869,4190,241.0,2939840,34940.0,84138745,0,108,25.0,56,Iran
192797,3995,6208,87,137200,49389,614,4779,154.0,1368727,33929.0,40340634,0,110,38.0,52,Iraq
99599,1630,795,14,74579,24225,389,10829,86.0,2180096,237029.0,9197590,0,16,57.0,19,Israel
256118,840,35418,6,204686,16014,68,4237,586.0,7790596,128878.0,60449180,0,40,7.0,55,Italy
58501,951,1144,16,45266,12091,237,463,9.0,1259422,9962.0,126421114,0,152,137.0,154,Japan
103815,244,1415,NULL,86450,15950,221,5520,75.0,2291327,121832.0,18807256,0,42,62.0,47,Kazakhstan
78767,622,509,2,70642,7616,94,18407,119.0,577588,134980.0,4279075,0,35,46.0,7,Kuwait
537031,5792,58481,707,367537,111013,3480,4159,453.0,1211552,9383.0,129117943,0,153,13.0,57,Mexico
65054,529,6191,10,0,0,51,3795,361.0,1312787,76591.0,17140202,1,63,17.0,63,Netherlands
83769,163,609,6,78386,4774,151,16350,119.0,309212,60353.0,5123430,0,79,46.0,11,Oman
290958,513,6209,8,272804,11945,725,1314,28.0,2363752,10673.0,221460187,0,148,100.0,109,Pakistan
83855,101,1844,17,59174,22837,154,19393,426.0,287300,66445.0,4323882,0,69,14.0,6,Panama
567059,8639,27034,200,380730,159295,1519,17166,818.0,2852011,86336.0,33033892,0,58,3.0,9,Peru
177579,3896,2881,86,113903,60795,717,1618,26.0,2193448,19981.0,109778515,0,129,101.0,99,Philippines
59378,767,1925,12,40481,16972,85,1569,51.0,2409394,63672.0,37840722,0,74,78.0,101,Poland
54992,291,1788,2,40264,12940,39,5395,175.0,1880235,184473.0,10192461,0,26,34.0,49,Portugal
116224,268,193,NULL,112924,3107,64,41393,69.0,572273,203815.0,2807805,0,23,65.0,1,Qatar
74963,1346,3154,48,34196,37613,489,3900,164.0,1591015,82783.0,19219141,0,60,35.0,61,Romania
942106,4785,16099,110,755513,170494,2300,6455,110.0,33500000,229541.0,145943309,0,17,49.0,39,Russia
303973,1287,3548,42,275476,24949,1682,8713,102.0,4501104,129021.0,34886672,0,39,53.0,24,Saudi Arabia
56099,68,27,0,53119,2953,NULL,9579,5.0,1745928,298108.0,5856690,0,15,155.0,22,Singapore
599940,3880,12618,195,497169,90153,539,10098,212.0,3480283,58581.0,59410167,0,82,30.0,20,South Africa
404229,3349,28813,16,0,0,522,8645,616.0,7955615,170147.0,46757339,1,29,5.0,25,Spain
85810,NULL,5805,5,0,0,27,8489,574.0,1030010,101900.0,10108001,1,53,8.0,26,Sweden
254520,1412,6058,19,234797,13665,735,3013,72.0,6061930,71770.0,84463026,0,65,63.0,79,Turkey
65802,461,369,2,58153,7280,NULL,6642,37.0,6265918,632496.0,9906649,0,7,89.0,37,UAE
322280,1182,41403,6,0,0,70,4744,609.0,15177265,223407.0,67935641,1,18,6.0,53,UK
5746272,45341,177424,1090,3095484,2473364,16817,17346,536.0,73868332,222984.0,331272237,0,19,10.0,8,USA
98537,2134,2184,40,50441,45912,177,2255,50.0,1356698,31049.0,43695861,0,113,80.0,88,Ukraine
22849844,267351,796376,6186,15508345,6545123,61822,2931,102.199996948,NULL,NULL,NULL,0,NULL,52.0,80,World
